ID,Post Title,Post Name,Type,Singular,First Letter,Years,Year
3166,ANDRÉ & CYPRIEN FOUNDATION,andre-cyprien-foundation,Organisation,1,,2019;2020,2019
3163,ALFRED AND EUGÉNIE BAUR FOUNDATION,alfred-and-eugenie-baur-foundation,Organisation,1,,2019;2020,2019
3160,Fondation Alcea,fondation-alcea-2,Organisation,1,,2019;2020,2019
3157,FONDATION ACTERIA,fondation-acteria-2,Organisation,1,,2019;2020,2019
3154,Facebook Reality Labs,facebook-reality-labs-2,Organisation,1,,2019,2019
3151,Facebook Inc.,facebook-inc-2,Organisation,1,,2019,2019
3148,Engagement Migros – A development fund of the Migros Group,engagement-migros-a-development-fund-of-the-migros-group,Organisation,1,,2019;2020,2019
3145,DR. PAUL PLICHTA AND DR. CHRISTA PLICHTA,dr-paul-plichta-and-dr-christa-plichta,Individual,,P,2019,2019
3106,Commision Internationale pour la protection des eaux du Léman,commision-internationale-pour-la-protection-des-eaux-du-leman-2,Organisation,1,,2019;2020,2019
3103,Comité suisse des barrages,comite-suisse-des-barrages-2,Organisation,1,,2019;2020,2019
3100,CARIGEST SA,carigest-sa-2,Organisation,1,,2019,2019
3098,CARAN D'ACHE SA,caran-dache-sa-2,Organisation,1,,2019;2020,2019
3094,Brain Science Foundation,brain-science-foundation-2,Organisation,1,,2019;2020,2019
3090,BANQUE LANDOLT ET CIE SA,banque-landolt-et-cie-sa-2,Organisation,1,,2019,2019
3085,Autodesk Inc.,autodesk-inc-2,Organisation,1,,2019,2019
3082,ASSOCIATION SONG TAABA,association-song-taaba-2,Organisation,1,,2019,2019
3079,VILLE DE LAUSANNE,ville-de-lausanne-2,Organisation,1,,2019;2020,2019
3059,AFM-TÉLÉTHON,afm-telethon-2,Organisation,1,,2019;2020,2019
4523,UBS Culture Foundation,ubs-culture-foundation,Organisation,1,,2020,2020
4520,DR SHAOMING LIU,dr-shaoming-liu-2,Individual,1,S,2020,2020
4516,SEERAVE FOUNDATION,seerave-foundation-2,Organisation,1,,2020,2020
